106|1005|D|2004|2|PROC. GERAL DO MUNICIPIO|0.00|22080.57|39465.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
2|131002|D|2009|4|  811-DESPORTO DE RENDIMENTO|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
7|61|D|2012|3|INVESTIMENTOS|352637874.66|25239044.01|46466517.34|35627047.68|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
1|31|D|2006|3|DEDUÇÃO DA RECEITA PARA FORMAÇÃO DO FUNDEF|289669843.00|2494000.00|292163843.00|48326337.85|122239806.34|49645861.43|120516142.06|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
1|1133|R|2007|2|RECEITAS DE CONCESSÕES E PERMISSÕES|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
2|117003|D|2011|5|  331 - PROTEÇÃO E BENEF.AO TRABALHADOR|125176.00|30176.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
2|1150|D|2013|6|PREVIDÊNCIA SOCIAL|125361341.00|146765357.11|29998308.83|146344405.61|30358515.20|146325148.60|146325148.60|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
2|119006|D|2012|2|  126 - TECNOLOGIA DA INFORMAÇÃO|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
5|6|D|2012|2|ADMINISTRAÇÃO|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
2|126001|D|2009|6|  601-PROMOCÃO DA PRODUCÃO VEGETAL|642733.00|2173233.00|577342.00|1550022.95|187004.00|523203.45|523203.45|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
10|24|R|2012|1|COTA-PARTE IPI-EXPORTAÇÃO|374327.00|374327.00|23357.47|23357.47|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
2|119004|D|2007|1|SERVIÇOS URBANOS|80000.00|80000.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
10|3|D|2012|2|17 - EDUCAÇÃO INFANTIL|6675000.00|6675000.00|115322.75|115322.75|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
2|110004|D|2007|1|COMUNICAÇÃO SOCIAL|1150000.00|1150000.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
5|3|R|2006|4|REPASSES PREVIDENCIÁRIOS RECEBIDOS PELO RPPS ( III )|16600000.00|16600000.00|-258360.98|4500433.38|10412998.20|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
2|120003|D|2008|5|  131-COMUNICAÇÃO SOCIAL|10000.00|40.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
10|112|R|2011|1|MULTAS, JUROS DE MORA E OUTROS ENCARGOS DO IPTU|1903545.00|1903545.00|505980.06|505980.06|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
2|118009|D|2010|4|  365-EDUCAÇÃO INFANTIL|4352061.00|6131677.00|1457376.50|3593993.74|1323947.45|1602194.74|1863094.27|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
6|10|C|2015|4|META DE RESULTADO NOMINAL FIXADA NO ANEXO DE METAS FISCAIS DA LDO P/ O EXERCÍCIO DE REFERÊNCIA|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Feb 11 2016 08:02:02:097AM
10|1|D|2015|5|RECEITA DE IMPOSTOS (I)|165025000.00|165025000.00|22758225.82|146079659.10|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Feb 11 2016 08:02:02:097AM
106|2003|D|2013|1|FUNJOPE|9626.24|0.00|9750.50|0.00|-124.26|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
2|5005|D|2006|2|PREVIDÊNCIA BÁSICA|4013125.00|4043125.00|395575.94|797001.38|395908.58|797001.38|1298564.37|0.00|0.00|0.00|0.00|0.00|0.00|0.00|Apr  3 2014 09:55:22:667AM
