10000000|Receitas Correntes|N
11000000|Receita Tributária|N
11100000|Impostos|N
11110000|Impostos sobre o Comércio Exterior|N
11110100|Imposto sobre a Importação|N
11110101|Receita do Principal do Imposto sobre a Importação|S
11110102|Receita de Parcelamentos - Imposto sobre a Importação|S
11110200|Imposto sobre a Exportação|N
11110201|Receita do Principal do Imposto sobre a Exportação|S
11110202|Receita de Parcelamentos - Imposto sobre a Exportação|S
11120000|Impostos sobre o Patrimônio e a Renda|N
11120100|Imposto sobre a Propriedade Territorial Rural|N
11120101|Imposto sobre a Propriedade Territorial Rural - Municípios Conveniados|S
11120102|Imposto sobre a Propriedade Territorial Rural - Municípios Não-Conveniados|S
11120200|Imposto sobre a Propriedade Predial e Territorial Urbana|S
11120400|Imposto sobre a Renda e Proventos de Qualquer Natureza|N
11120410|Pessoas Físicas|S
11120411|Receita de Parcelamentos – Imposto sobre a Renda – Pessoas Físicas|S
11120421|Pessoa Jurídica – Líquida de Incentivos|S
11120422|Receita de Parcelamentos – Imposto sobre a Renda – Pessoas Jurídicas|S
11120423|Imposto de Renda Pessoa Jurídica – Simples Federal e Nacional|S
11120431|Imposto de Renda Retido nas Fontes sobre os Rendimentos do Trabalho|S
11120432|Imposto de Renda Retido nas Fontes sobre os Rendimentos de Capital|S
11120433|Imposto de Renda Retido nas Fontes sobre Remessa de Recursos ao Exterior|S
11120434|Imposto de Renda Retido nas Fontes sobre Outros Rendimentos|S
11120435|Receita de Parcelamentos – Imposto sobre a Renda Retido na Fonte|S
11120500|Imposto sobre a Propriedade de Veículos Automotores|S
11120700|Imposto sobre Transmissão “Causa Mortis” e Doação de Bens e Direitos|S
11120800|Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis|S
11130000|Impostos sobre a Produção e a Circulação|N
11130100|Imposto sobre Produtos Industrializados|N
11130101|Imposto sobre os Produtos Industrializados do Fumo|S
11130102|Imposto sobre Produtos Industrializados de Bebidas|S
11130103|Imposto sobre Produtos Industrializados de Automóveis|S
11130104|Imposto sobre Produtos Industrializados de Importação|S
11130109|Outros Produtos|S
11130110|Receita de Parcelamentos – Imposto sobre Produtos Industrializados|S
11130111|Imposto sobre Produtos Industrializados – Simples Federal e Nacional|S
